Time,syn3B_1,syn3B_2,syn3B_3,syn3B_4
0,0,0,0,0
4,0.008460147,0.001745247,0.011390247,0
8,0.036520697,0.035860967,0.037270697,0.021962077
12,0.029524277,0.032596167,0.031893707,0.015010757
16,0.014687497,0.032162827,0.021385097,0.000441527
20,0.018956417,0.018294937,0.019879647,0.011284857
24,0.019661257,0.018301647,0.023824937,0.019584667
28,0.021604107,0.014151707,0.023108827,0.007497737
32,0.019988417,0.019026097,0.012314057,0.002025277
36,0.101390347,0.064493467,0.056367217,0.033560447
40,0.472627517,0.379765767,0.252307967,0.207258677
44,2.716534957,2.307377407,1.510023047,1.397865037
48,2.315647427,2.510262707,2.581121477,2.570085297
52,1.917573437,2.150031597,2.244452117,2.041602267
