Time,syn3A_1,syn3A_2,syn3A_3,syn3A_4
0,0.013404677,0.002773827,0,0
4,0.035596807,0.017707667,0.013180747,0.006031927
8,0.081839817,0.070201817,0.051650217,0.039382777
12,0.092423727,0.059837627,0.049625537,0.037298137
16,0.075427357,0.041368217,0.042030547,0.027220577
20,0.050427317,0.036447857,0.023413097,0.024397567
24,0.058046267,0.043942567,0.024290187,0.022171227
28,0.054903627,0.040805527,0.027609387,0.018770757
32,0.038347667,0.027350967,0.017167897,0.010877937
36,0.124385977,0.107631937,0.052652877,0.054095937
40,0.418254797,0.326273257,0.201358337,0.201328877
44,2.168468517,2.010467737,1.406159147,1.254401097
48,3.392454297,3.347600557,3.323614917,3.354987317
52,3.007133857,3.058942437,3.174702507,2.925150807
