Time,syn1.0_1,syn1.0_2,syn1.0_3,syn1.0_4
0,0.123606887,0.152102417,0.131204497,0.146656947
4,0.246057247,0.330624677,0.251874867,0.266737207
8,1.067700787,0.988321147,0.950860967,0.926388177
12,2.467222197,1.971128747,1.965485767,1.764534817
16,3.663974917,2.967126217,3.520134807,3.403325227
20,4.956757987,4.766394687,4.975832427,5.004232497
24,5.268425917,6.514514747,6.044809167,5.573585927
28,4.347847177,6.573910107,5.970939777,6.642617507
32,6.930063567,6.876958207,6.428591527,7.131656057
36,5.070901467,7.031609097,7.014793457,7.726035207
40,6.318563157,6.974828597,6.262500927,6.759208187
