 ,Area,Mean,Min,Max,Angle,Length
1,0.005,32456.363,13813.619,64180.070,-87.469,0.944
2,0.005,32954.756,17120.812,63935.414,-90.317,0.943
3,0.005,25158.201,13026.000,48822.203,-88.172,0.980
4,0.004,29607.283,10935.484,64671.254,-88.221,0.839
5,0.006,35013.848,3307.478,65365.156,-89.502,1.198
6,0.003,39571.528,11019.643,62059.617,-89.545,0.656
7,0.003,39972.500,19661.580,65110.410,-90.535,0.557
8,0.006,43357.935,20918.812,65528.000,-87.908,1.141
9,0.005,37420.201,18800.170,65528.000,-89.676,0.922
10,0.005,39793.186,18281.551,65532.000,-88.354,0.907
11,0.005,37026.084,15037.265,61661.578,-90.690,0.865
12,0.006,34340.158,5146.329,62624.215,-88.692,1.141
13,0.004,33131.128,5909.000,64638.309,-87.797,0.813
14,0.003,34599.309,9732.229,59158.523,-89.061,0.636
15,0.004,32243.533,11721.708,56663.309,-88.238,0.677
16,0.004,37240.425,15899.484,62360.758,-89.132,0.688
17,0.004,36091.440,11380.806,58929.961,-88.462,0.776
18,0.005,36523.829,10128.118,62443.641,-91.017,0.880
