 ,Area,Mean,Min,Max
1,146,1389.815,914,1866
2,266,1276.015,966,1865
3,238,1310.937,914,1867
4,221,1161.783,878,1619
5,213,1223.085,941,1621
6,182,1369.066,1156,1619
7,241,1141.913,929,1597
8,166,1304.940,1018,1618
9,156,1254.673,1000,1608
10,238,1175.672,860,1580
11,217,1229.401,969,1578
12,245,1140.873,855,1578
13,134,1239.030,957,1582
14,115,1246.791,994,1558
15,145,1186.262,853,1559
16,185,1186.984,895,1557
17,157,1241.287,1008,1558
18,162,1175.167,926,1563
19,181,1180.680,906,1557
20,148,1164.669,918,1562
21,231,2352.649,1589,3178
22,218,2575.615,1824,3177
23,253,2422.897,1541,3169
24,258,2255.504,1419,3160
25,203,2479.887,1663,3178
26,179,2187.698,1529,3140
27,198,2445.030,1810,3166
28,160,2341.869,1648,3177
