1,3,4,6
0.583,0.177,0.106,1
0.282,0.058,0.052,0.56
0.285,0.067,0.824,0.172
0.105,0.141,0.05,1
0.193,0.052,0.821,1
0.175,0.059,1,1
0.179,1,0.113,0.061
0.105,0.056,0.792,0.05
1,0.44,0.761,0.063
0.142,0.085,1,0.059
0.066,0.079,0.201,0.056
0.052,0.199,0.752,0.062
1,1,0.055,0.062
0.595,0.286,0.061,0.708
0.375,1,0.06,1
0.297,0.058,0.08,1
0.105,0.058,0.051,0.075
0.588,0.284,0.073,0.088
0.373,0.419,0.064,1
0.522,0.588,0.055,0.05
0.355,1,0.053,1
0.302,0.083,0.064,1
1,0.058,0.723,0.197
0.373,0.053,0.121,0.097
0.548,0.088,0.192,0.104
0.084,0.05,0.098,1
1,0.65,0.829,0.639
0.557,1,0.144,
1,0.161,0.101,
,0.707,0.706,
,0.292,0.067,
,0.077,0.065,
,0.075,0.061,
,0.653,0.169,
,0.055,1,
,0.497,0.782,
,0.319,1,
,0.335,1,
,0.668,,
,0.063,,
,0.264,,
,0.098,,
,0.074,,
,0.171,,
,0.179,,
,0.273,,
,0.104,,
,0.624,,
,0.053,,
,0.054,,
,0.138,,
,0.33,,
,1,,
,0.332,,
,0.13,,
,0.276,,
,0.073,,
,1,,
,0.673,,
,0.204,,
,0.161,,
,0.101,,
,0.053,,
,1,,
,0.42,,
,0.159,,
,0.062,,
,0.061,,
,0.091,,
,0.627,,
