Population,Replicate,note,T0_mCherry,T0_SOI,T0_SOI_raw,T24_mCherry,T24_SOI,T24_SOI_raw,W_vs_mCherry,W_vs_syn1.0anc,W_vs_syn3Banc,Delaney,T0_Cax_pos,T0_Cax_neg,T0_Cax_time,T0_Sampling_time,T24_Cax_pos,T24_Cax_neg,T24_Cax_time,T24_Sampling_time
1,1,,15931,1330.227273,3732,705300,1047117.647,1163800,1.759319217,1.189512602,2.534312409,4.152206767,16960,2781,22,19,18813,1026,51,58
1,2,,15749,1235.409091,3890,549500,1195641.176,1308300,1.935412973,1.308573281,2.787976773,4.79379257,16960,2781,22,21,18813,1026,51,56
1,3,,16003,1363.636364,3639,559300,1178147.059,1341100,1.902564683,1.286363864,2.740658567,4.627636898,16960,2781,22,18,18813,1026,51,81
3,1,,11480,6597.050847,7284,153000,1718670.833,1802700,2.147894072,1.452236207,3.094057376,4.288919215,16093,2702,59,15,18169,938,48,43
3,2,,11901,6309.661017,7134,182800,1715620.833,1776200,2.051947226,1.387364533,2.955845231,4.145841164,16093,2702,59,18,18169,938,48,31
3,3,,11840,6043.067797,6959,163200,1727866.667,1790400,2.155801976,1.457582906,3.10544877,4.37459498,16093,2702,59,20,18169,938,48,32
4,1,,11774,5477.084746,6622,242100,1586395.833,1705600,1.874889137,1.267651847,2.700791737,3.816202234,16093,2702,59,25,18169,938,48,61
4,2,,12020,5246.474576,6254,159700,1710762.5,1798700,2.237245101,1.51264831,3.222768197,4.617219948,16093,2702,59,22,18169,938,48,45
4,3,,13984,3461.305085,4881,136600,1719962.5,1807900,2.724011485,1.841761266,3.923958791,5.668736798,16093,2702,59,31,18169,938,48,45
6,1,,15649,2559.254237,3292,462700,1276266.667,1385700,1.834242805,1.24017001,2.642240394,4.076055889,16093,2702,59,16,18169,938,48,56
6,2,,14180,3488.661017,4313,461500,1268525,1397500,1.69299036,1.144666271,2.438765198,3.481861605,16093,2702,59,18,18169,938,48,66
6,3,,14759,2804.474576,3812,276000,1551387.5,1674500,2.156594052,1.458118446,3.106589762,4.886611475,16093,2702,59,22,18169,938,48,63
8,1,,7577,10488.12,11570,271200,1477502.841,1490200,1.382958676,0.93504735,1.992162252,1.976674376,19075,629,25,43,19108,573,176,39
8,2,,8983,9423.84,10078,259100,1487905.114,1499300,1.505669898,1.01801498,2.16892868,2.452583894,19075,629,25,26,19108,573,176,35
8,3,,9661,8807.16,9411,220600,1579453.977,1591500,1.658838939,1.12157578,2.389569822,2.973416857,19075,629,25,24,19108,573,176,37
8,4,,7429,10762.25424,11495,279200,1539858.333,1606300,1.368633634,0.92536189,1.971526923,1.928686421,16093,2702,59,16,18169,938,48,34
9,1,,14667,2927.857143,4823,759100,1151092.308,1207700,1.513783141,1.023500513,2.180615866,2.925298416,16942,2814,49,33,19112,669,52,44
9,3,,15135,2166.285714,4406,750400,1151873.077,1216200,1.607781614,1.087054852,2.316021366,3.42284326,16942,2814,49,39,19112,669,52,50
10,1,,16232,1162.636364,3438,1586100,303352.9412,379800,1.214349078,0.821046867,1.749278873,1.416954399,16960,2781,22,18,18813,1026,51,38
10,2,,15961,764.1818182,3798,1100700,785958.8235,878500,1.638305539,1.107692717,2.359991306,3.898595626,16960,2781,22,24,18813,1026,51,46
10,3,,16346,619.4090909,3274,1287900,644064.7059,684300,1.590824476,1.075589775,2.291594482,3.722158234,16960,2781,22,21,18813,1026,51,20
11,1,,15767,863.5909091,3771,1354600,535941.1765,614400,1.444012166,0.976326895,2.080110259,2.852695984,16960,2781,22,23,18813,1026,51,39
11,2,,16088,1009.818182,3538,1434600,491341.1765,535600,1.377858853,0.931599254,1.98481592,2.44796604,16960,2781,22,20,18813,1026,51,22
11,3,,16396,1132.045455,3281,1238900,651976.4706,724400,1.46961108,0.993634858,2.116985685,2.930172165,16960,2781,22,17,18813,1026,51,36
13,1,,15709,1029,3810,1314600,577764.7059,652200,1.429975636,0.966836503,2.059890533,2.746206549,16960,2781,22,22,18813,1026,51,37
13,2,,15561,1199.590909,4107,1309900,581164.7059,655600,1.394798033,0.943052188,2.009216935,2.524882694,16960,2781,22,23,18813,1026,51,37
13,3,,16342,802.8181818,3331,1360300,523205.8824,607700,1.465402386,0.990789271,2.110923029,2.968893265,16960,2781,22,20,18813,1026,51,42
16,1,,3970,14943.42857,15690,1160900,735680.7692,810300,0.686227169,0.463972573,0.988515337,-2.5703922,16942,2814,49,13,19112,669,52,58
16,2,,4162,14554.14286,15473,1218300,687000,753900,0.678695547,0.458880286,0.97766598,-2.632568436,16942,2814,49,16,19112,669,52,52
16,3,,3803,15078.42857,15825,1048600,850813.4615,919000,0.717676743,0.48523629,1.033818683,-2.288825925,16942,2814,49,13,19112,669,52,53
