Population,Replicate,note,T0_mCherry_raw_per_10_uL,T0_mCherry_per_inoculated_V,T0_SOI_raw_per_10_uL,Inoculated_V,T0_SOI_per_inoculated_V,Amount_false_neg_to_subtract_as_proportion_of_true_pos_mCherry_cells,T24_mCherry_raw,T24_mCherry,T24_SOI_raw,T24_SOI,W_W
17,a,,43530,65295,62837,16.5,1036810.5,1.030195078,9118,911800,38207,2881368.128,0.387678375
17,b,,41359,62038.5,60297,16.5,994900.5,0.942522321,11382,1138200,40198,2947021.094,0.373234833
17,c,,42057,63085.5,65088,16.5,1073952,1.05210594,8956,895600,43083,3366033.92,0.430602566
17,d,,43789,65683.5,64780,16.5,1068870,0.960690702,10382,1038200,44103,3412910.913,0.420578629
17,e,,42015,63022.5,64430,16.5,1063095,1.007985185,10289,1028900,43105,3273384.044,0.402699258
17,f,,39698,59547,58828,16.5,970662,1.058074843,9136,913600,41911,3224442.823,0.439656228
17,g,,50176,75264,59127,16.5,975595.5,1.078203823,8083,808300,48255,3953987.85,0.589499726
17,h,,44392,66588,58643,16.5,967609.5,1.07224941,9953,995300,41091,3041890.162,0.423515391
17,i,,44550,66825,59409,16.5,980248.5,1.057361839,8849,884900,37246,2788940.508,0.404742589
17,j,,44116,66174,59084,16.5,974886,1.062358789,8457,845700,42033,3304863.172,0.479155699
17,k,,44751,67126.5,63690,16.5,1050885,0.982392523,9796,979600,43458,3383448.284,0.436200032
17,l,,44614,66921,64886,16.5,1070619,1.117214992,6206,620600,37899,3096556.376,0.476861572
16,a,,43530,65295,54405,28.5,1550542.5,1.026803912,12191,1219100,54312,4179423.351,0.338771588
16,b,,41359,62038.5,56865,28.5,1620652.5,0.940768495,14460,1446000,53027,3942348.756,0.282313097
16,c,,42057,63085.5,53511,28.5,1525063.5,1.036529856,9401,940100,49081,3933658.283,0.350744199
16,d,,43789,65683.5,55752,28.5,1588932,0.950264318,12640,1264000,48074,3606265.902,0.277158754
16,e,,42015,63022.5,54562,28.5,1555017,0.995897885,12666,1266600,57672,4505795.739,0.354555145
16,f,,39698,59547,55233,28.5,1574140.5,1.043258438,11002,1100200,58326,4684807.067,0.373949015
16,g,,50176,75264,52700,28.5,1501950,1.05705237,13105,1310500,59570,4571732.87,0.389592196
16,h,,44392,66588,47776,28.5,1361616,1.056366337,9270,927000,49557,3976448.405,0.406966262
16,i,,44550,66825,52394,28.5,1493229,1.058370311,10840,1084000,57228,4575526.583,0.401882951
16,j,,44116,66174,51503,28.5,1467835.5,1.044674034,9725,972500,55408,4524854.502,0.418888195
16,k,,44751,67126.5,50853,28.5,1449310.5,0.959987409,9134,913400,56200,4743147.5,0.454154328
16,l,,44614,66921,50089,28.5,1427536.5,1.10149137,5246,524600,50062,4428357.627,0.549786685
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
`,,,,,,,,,,,,,
