,dN,dS,dN_dS,in_CDS,not_in_CDS
3B_1,6,2,0.7972359989567811,7,0
3B_2,3,3,0.2657442249500162,5,0
3B_3,12,3,1.062982797990376,14,3
3B_6,3,1,0.7972363740058581,3,1
3B_7,11,2,1.461603837012744,12,2
3B_8,13,4,0.8636720521230701,16,2
3B_13,6,2,0.7972359989567811,7,3
3B_15,6,2,0.7972359989567811,7,0
3B_17,7,2,0.9301092388918921,8,1
3B_18,2,1,0.5314905883194201,2,1
3B_20,6,2,0.7972359989567811,7,1
3B_21,6,3,0.5314894329202559,8,3
3B_22,8,2,1.0629826426670326,9,0
3B_26,6,2,0.7972359989567811,7,2
3B_29,8,1,2.125970217570158,8,0
3B_31,10,1,2.6574660487568273,10,0
3B_34,12,1,3.18896319067647,12,1
3B_35,2,1,0.5314905883194201,2,5
3B_36,10,2,1.3287299417270546,11,1
3B_40,7,1,1.8602227934877047,7,1
3B_41,6,3,0.5314894329202559,8,0
3B_42,7,2,0.9301092388918921,8,3
3B_44,3,1,0.7972363740058581,3,0
3B_45,5,1,1.3287289283883752,5,1
3B_47,4,1,1.0629824873459552,4,2
3B_49,7,2,0.9301092388918921,8,2
3B_51,6,1,1.5944756970860703,6,2
3B_52,1,3,0.08858129909442411,3,1
3B_53,8,1,2.125970217570158,8,0
3B_54,7,1,1.8602227934877047,7,3
3B_55,14,2,1.8602265059452303,15,0
3B_56,4,1,1.0629824873459552,4,1
3B_58,8,2,1.0629826426670326,9,0
3B_62,7,1,1.8602227934877047,7,2
3B_63,8,1,2.125970217570158,8,1
3B_64,9,2,1.1958562102706427,10,3
3B_66,6,1,1.5944756970860703,6,2
3B_72,8,3,0.7086534510414191,10,0
3B_73,9,2,1.1958562102706427,10,0
3B_74,10,1,2.6574660487568273,10,3
3B_75,7,1,1.8602227934877047,7,0
3B_76,5,2,0.6643629228732595,6,1
3B_78,12,1,3.18896319067647,12,1
3B_79,6,1,1.5944756970860703,6,2
3B_80,10,2,1.3287299417270546,11,2
3B_81,5,2,0.6643629228732595,6,1
3B_82,9,3,0.7972356239339435,11,2
3B_83,5,2,0.6643629228732595,6,3
3B_84,6,1,1.5944756970860703,6,0
3B_85,8,1,2.125970217570158,8,0
3B_86,13,1,3.454712253151213,13,0
3B_89,6,1,1.5944756970860703,6,2
3B_90,12,3,1.062982797990376,14,0
3B_92,7,2,0.9301092388918921,8,3
3B_93,5,2,0.6643629228732595,6,3
3B_95,5,1,1.3287289283883752,5,1
3B_96,3,3,0.2657442249500162,5,1
